"entity_name","review_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","city","state","zip"
"SOUTHERN CA DISTRICT COUNCIL OF LABORERS PAC","org_rg_116","1411eff6-0fa8-40b1-9efe-429c7edf667a",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","1358150",1,5900,196000,"Long Beach","CA","90802"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","org_rg_116","1411eff6-0fa8-40b1-9efe-429c7edf667a","SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","merge_conflict",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,3,2430,196000,"El Monte","CA","91731"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC","org_rg_116","1411eff6-0fa8-40b1-9efe-429c7edf667a","SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","merge_conflict",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1358150",5,59400,196000,"Long Beach | LONG BEACH","CA","90802 | 90802-5054"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_116","1411eff6-0fa8-40b1-9efe-429c7edf667a","SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","merge_conflict",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1358150",6,95500,196000,"Long Beach | Sacramento","CA","90802 | 95814-4602"
"LOCAL 770 UNITED FOOD AND COMMERCIAL WORKERS PAC","org_rg_117","20e4d30f-f52f-4309-bd7d-3912633dce9f",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","921242",2,78400,156800,"Los Angeles","CA","90005-1303"
"UFCW 8 GOLDEN STATE (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_117","bb95b3f7-957d-45a2-beb7-fab412222dc3",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,18,48614.4,156800,"Roseville | Washington","CA | DC","20265 | 95661"
"UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE","org_rg_117","760be8fd-377b-40de-b79f-aebf55ca929f","UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","910874",1,2500,156800,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE","org_rg_117","040d12f8-74ac-4bbc-811c-8ec881749c0a",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,19,11744.78,156800,"Roseville","CA","95661"
"UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE PAC","org_rg_117","b6eb00d6-d29c-4dcd-b423-841df86d4818",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","950663",2,30000,156800,"Roseville","CA","95610"
"UNITED FOOD AND COMMERCIAL WORKERS ACTIVE BALLOT CLUB (CALIFORNIA) (FED PAC ID# C00002766)","org_rg_117","786457e7-89c5-40dc-b6d4-b9918dbe1e1b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","1247000",2,39200,156800,"Washington","DC","20006-1502"
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION","org_rg_117","11a75567-49e5-43e3-bc50-526b7a6bbc8e",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,19,20414.98,156800,"Washington","DC","20006"
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, AFL-CIO, CLC","org_rg_117","dd5581cd-2e91-40e0-b2ef-b1ad7a82911d",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge",NA,1,5500,156800,"Washington","DC","20006"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC","org_rg_117","760be8fd-377b-40de-b79f-aebf55ca929f",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","910874",12,42900,156800,"Buena Park | BUENA PARK","CA","90620 | 90620-3930"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_117","760be8fd-377b-40de-b79f-aebf55ca929f","UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","910874",8,13500,156800,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC","org_rg_117","760be8fd-377b-40de-b79f-aebf55ca929f","UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","910874",1,39200,156800,"Buena Park","CA","90620-3930"
"FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE","org_rg_147","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","1349650",1,1500,693059.4,"San Pedro","CA","90731-2200"
"FOREMEN'S UNION LOCAL 94 POLITICAL ACTION FUND","org_rg_147","2b6a60ae-177d-4603-9f64-1cd14b01ba6d",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1349650",2,2000,693059.4,"Long Beach","CA","90802"
"I.L.W.U. LOCAL 13 POLITICAL ACTION COMMITTEE FUND","org_rg_147","626ec451-995f-4fa5-9721-00059016a43a",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge","1386983",1,5500,693059.4,"San Pedro","CA","90731"
"ILWU LOCAL 13","org_rg_147","f6ad70e3-759d-4216-bf1f-0e05ea13485c",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge",NA,1,6000,693059.4,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64","INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1",NA,1,8000,693059.4,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13 PAC","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1226530",1,6300,693059.4,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION, LOCAL 63","org_rg_147","22701c46-63d5-44c3-abda-803d94569c87",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,15,84135,693059.4,"San Pedro","Ca | CA","90731"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (I.L.W.U.) LOCAL 13 PAC","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1226530",1,5000,693059.4,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL 13 PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64","INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","1226530",1,11800,693059.4,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 (ADMIN)","org_rg_147","41be2462-a830-469c-9a51-5ca3e743ea0f",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,17,5100,693059.4,"Long Beach","CA","90802"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC","org_rg_147","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","1349650",2,3500,693059.4,"Long Beach","CA","90802"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC (ILWU)","org_rg_147","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1349650",2,12500,693059.4,"Long Beach","CA","90802-4710"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,18,693059.4,693059.4,"San Pedro","CA","90731"
