"","pac_id","Contributor.Name","name_variants","is_seed","status","unresolvable_reason","is_federal_pac","suspected_federal_pac","suspected_federal_reason","is_major_donor_ie","is_candidate_pac","low_data_sufficiency","unknown_data_sufficiency","data_ok","contributor_is_dc_based","total_received","total_donated_all","data_sufficiency","unitemized_amount","under_5k_amount","over_5k_amount","pct_over_5k","total_direct_over_5k","total_resolvable","pct_resolvable","classification_status"
"142","1482227","RISE TOGETHER - PATRICK AHRENS BALLOT MEASURE COMMITTEE TO SUPPORT ECONOMIC EMPOWERMENT & INNOVATION","RISE TOGETHER - PATRICK AHRENS BALLOT MEASURE COMMITTEE TO SUPPORT ECONOMIC EMPOWERMENT & INNOVATION",FALSE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72500,5000,14.5,0,2500,70000,0.96551724137931,70000,48152.8816195294,0.664177677510751,"classify_by_contributors"
"143","1479469","RODRIGUEZ FIGHTING FOR CALIFORNIA WORKING FAMILIES BALLOT MEASURE COMMITTEE","RODRIGUEZ FIGHTING FOR CALIFORNIA WORKING FAMILIES BALLOT MEASURE COMMITTEE",FALSE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1e+05,5000,20,0,0,1e+05,1,1e+05,94926.5074851364,0.949265074851364,"classify_by_contributors"
"144","1296947","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021 ISSUES PAC","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021 ISSUES PAC",FALSE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2357754.14,4e+05,5.89438535,1141935.41,0,1215818.73,0.515668156137773,1215818.73,1215818.73,0.515668156137773,"classify_by_contributors"
"145","1463844","GOLDEN STATE OF MIND: AN AVELINO VALENCIA BALLOT MEASURE COMMITTEE","GOLDEN STATE OF MIND: AN AVELINO VALENCIA BALLOT MEASURE COMMITTEE",FALSE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,530400,12569.65,42.1968789902662,0,10600,519800,0.980015082956259,519800,372497.338604443,0.702295133115465,"classify_by_contributors"
"146","1483976","STANDING UP FOR ALL CALIFORNIANS SOLACHE BALLOT MEASURE COMMITTEE","STANDING UP FOR ALL CALIFORNIANS SOLACHE BALLOT MEASURE COMMITTEE",FALSE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,169170.83,15318.24,11.0437511097881,0,13937.5,155233.33,0.917612865054809,155233.33,137159.837485136,0.810777114973878,"classify_by_contributors"
"147","1025714","The California Society of Certified Public Accountants PAC","California Society of Certified Public Accountants PAC | California Society of Certified Public Accountants Political Action Committee | The California Society of Certified Public Accountants PAC",FALSE,"resolved","low_pct_resolvable",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,109110.5,30000,3.63701666666667,23375.5,39535,45500,0.41700844556665,45500,45500,0.41700844556665,"unresolvable"
"148","1031445","Firefighters for Better Government, sponsored by the Ventura County Professional Firefighters Association","Firefighters for Better Government, sponsored by the Ventura County Professional Firefighters Association",FALSE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,11000,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"149","1067827","HCA California Good Government Fund","HCA California Good Government Fund | HCA California Good Government Group, Sponsored by Far West Division, Inc.",FALSE,"resolved","low_data_sufficieny",FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9800,20000,0.49,0,0,9800,1,9800,9800,0,"unresolvable"
"150","1414164","International Union of Painters & Allied Trades Legislative Educational Committee (MPO)","International Union of Painter & Allied Trades Political Action Together Legislative Education Committee | International Union of Painters & Allied Trades (IUPAT) Legislative Education Committee (MPO) | International Union of Painters & Allied Trades (IUPAT) Legislative Educational Committee (MPO) | International Union of Painters & Allied Trades (IUPAT) Political Action Together Legislative Educational Committee | International Union of Painters & Allied Trades Legislative Education Committee (MPO) | International Union of Painters & Allied Trades Legislative Educational Committee | International Union of Painters & Allied Trades Legislative Educational Committee (IUPAT) (MPO) | International Union of Painters & Allied Trades Legislative Educational Committee (MPO) | INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES LEGISLATIVE EDUCATIONAL COMMITTEE (MPO) | International Union of Painters & Allied Trades Legislative Educational Committee MPO | International Union of Painters & Allied Trades Political Action Together Legislative Education Committee | International Union of Painters & Allied Trades Political Action Together Legislative Education Committee (IUAPT) | International Union of Painters and Allied Trades (IUPAT) Legislative Educational Committee (MPO) | International Union of Painters and Allied Trades (IUPAT) Political Action Together Legislative Education Committee | International Union of Painters and Allied Trades (IUPAT) Political Action Together Legislative Education Committee (MPO) | International Union of Painters and Allied Trades (IUPAT) Political Action Together Legislative Educational Committee (MPO) | International Union of Painters and Allied Trades Legislative Educational Committee (MPO) | International Union of Painters and Allied Trades Political Action Together Legislative & Education Committee | International Union of Painters and Allied Trades Political Action Together Legislative & Educational Committee | International Union of Painters and Allied Trades Political Action Together Legislative Education Committee | International Union of Painters and Allied Trades Political Action Together Legislative Educational Committee (MPO) | IUPAT Political Action Together Legislative Education Committee",FALSE,"resolved","suspected_federal_pac",FALSE,TRUE,"self_contributing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2837762.45,232600,12.2001825021496,0,0,2837762.45,1,2837762.45,0,0,"unresolvable"
"151","1067843","SUNPAC sponsored by California Solar & Storage Association (Formerly CALSEIA)","Sun PAC - California Solar Energy Ind. Assn. | SUNPAC sponsored by CA Solar & Storage Association | SUNPAC sponsored by California Solar & Storage Association | SUNPAC sponsored by California Solar & Storage Association (Formerly CALSEIA) | SUNPAC Sponsored by California Solar & Storage Association (Formerly CALSEIA)",FALSE,"resolved","low_data_sufficieny",FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16909,27204.64,0.621548382922913,259,16150,0,0,0,0,0,"unresolvable"
