"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"SAN DIEGO COUNTY BUILDING TRADES COUNCIL FAMILY HOUSING CORPORATION TWO DBA NATIONAL CITY PARK APARTMENTS","org_rg_7707","org_rg_7707","86e479dc-5289-4e6e-943d-4e7e7b80ec64",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,525,50000,FALSE,"National City","CA","91950"
"SAN FERNANDO COMMUNITY HEALTH CENTER","org_rg_7720","org_rg_7720","aedeb856-195f-4cf7-88d3-af169a853954",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,57673.39,62673.39,TRUE,"San Fernando","CA","93140"
"SAN FRANCISCO COMMUNITY HEALTH CENTER","org_rg_7720","org_rg_7720","7fa8dcc7-71af-4a73-8c05-c615694debbd",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,5000,62673.39,TRUE,"San Francisco","CA","94109"
"SAN FRANCISCO ARCHDIOCESAN FEDERATION (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7723","org_rg_7723","c1d0fac3-5457-41b9-a967-bd1fcb0b5101",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,16,17297.92,64380.3,TRUE,"San Francisco","CA","94133"
"SAN FRANCISCO ARCHDIOCESAN FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7723","org_rg_7723","4a690b92-8278-4edf-93ce-6282f84111a9",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,9,8891,64380.3,TRUE,"San Francisco","CA","94133"
"SAN FRANCISCO CC DISTRICT FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7723","org_rg_7723","000bee7e-1145-475b-bed2-4fc804129a3b",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,23,46994.75,64380.3,TRUE,"Burbank","CA","91505"
"SAN FRANCISCO COMMUNITY COLLEGE DISTRICT FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7723","org_rg_7723","01bc6714-a2bd-4a73-904e-d7284cd45ab7",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,9,23429.5,64380.3,TRUE,"Burbank","CA","91505"
"SAN JOSE EVERGREEN FEDERATION OF TEACHERS (AFT LOCAL 6157)","org_rg_7737","org_rg_7737","b8213e8b-c2a2-4ec6-9500-cb5f7847c24d",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,500,19583.17,FALSE,"Campbell","CA","95008-2309"
"SAN JOSE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7737","org_rg_7737","452de083-f12d-4379-bb5a-d2e06a55edbd",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,37,4833.65,19583.17,TRUE,"San Jose","CA","95125"
"SAN JOSE/EVERGREEN FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7737","org_rg_7737","b8213e8b-c2a2-4ec6-9500-cb5f7847c24d",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v5 | exact_name_v1 | exact_name_v5 | internal_fuzzy",NA,12,16352.26,19583.17,TRUE,"Campbell","CA","95008"
"SAN MANUEL BAND OF MISSION INDIANS","org_rg_7742","org_rg_7742","66bcf5a8-7cf4-4683-91b0-82cbd1a8c9b4",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,14,571000,605000,TRUE,"Highland | HIGHLAND | Los Angeles","CA","90071 | 92346 | 92346-6712"
"SANTA YNEZ BAND OF MISSION INDIANS","org_rg_7742","org_rg_7742","9764d070-3eee-4b3c-a9b7-27865ec18d7e",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | internal_fuzzy+map1_bridge",NA,20,349700,605000,TRUE,"Santa Ynez | SANTA YNEZ","CA","93460 | 93460-9669"
"SANTA YNEZ BAND OF MISSION INDIANS TRIBAL GOVERNMENT OPERATIONS","org_rg_7742","org_rg_7742","68b34301-862d-490e-861f-e26126156e70",NA,"new_entity",FALSE,FALSE,"internal_fuzzy+map1_bridge",NA,1,3000,605000,FALSE,"Santa Ynez","CA","93460"
"SAN MATEO ADULT SCHOOL FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7747","org_rg_7747","0bff6ebd-d212-4295-b0a1-719a79e8ab06",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,43,2062.42,44597.05,TRUE,"San Mateo","CA","94401"
"SAN MATEO COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7747","org_rg_7747","10970b08-6ec0-4be1-bc1b-fd8aee429b0c",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,6,20980.86,44597.05,TRUE,"San Mateo","CA","94402"
"SAN MATEO COMMUNITY COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7747","org_rg_7747","d381fb08-2fab-477b-8ea9-87fa886f64cf",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,12,43222.64,44597.05,TRUE,"San Mateo","CA","94402"
"SAN RAFAEL FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7751","org_rg_7751","c34cf95f-a8f9-41a3-b9ff-8a8d4c6cf598",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,33,17758.63,36272.37,TRUE,"San Francisco","CA","94122"
"SANTA CLARA FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7751","org_rg_7751","a74de7f7-35b6-4db4-b4f3-d880b8096a13",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,3,237.41,36272.37,TRUE,"San Jose","CA","95123"
"SANTA PAULA FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7751","org_rg_7751","cbb1cdb7-2747-4a3f-bc47-4e24ffbe3a23",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,43,36064.58,36272.37,TRUE,"Santa Paula","CA","93060"
"SANTA PAULA FEDERATION OF TEACHERS, LOCAL #2071 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7751","org_rg_7751","8da00c70-1c09-4ccd-95c0-e2029a838dff",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,346.95,36272.37,FALSE,"Fillmore","CA","93015"
"SEIU 1021 SERVICE EMPLOYEES IN (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_7890","org_rg_7890","a7fd59d4-7b01-4f28-a4d9-9d2ae34d2e3b",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,51,95968.93,232016.89,TRUE,"Oakland | Washington","CA | DC","20473 | 94609"
"SEIU 221 SERVICE EMPLOYEES (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_7890","org_rg_7890","ee26957c-f219-48b1-9209-3b115518b47c",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,48,7119.63000000001,232016.89,TRUE,"San Diego","CA","92111 | 92114"
"SEIU 521 SERVICE EMPLOYEES (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_7890","org_rg_7890","b9d89dc7-8249-4650-a114-5251cb740ba3",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,52,5693.86,232016.89,TRUE,"San Jose | Washington","CA | DC","20469 | 95131"
"SEIU 620 SERVICE EMPLOYEES (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_7890","org_rg_7890","eef4a43b-812a-4701-8dcc-8bc2f7281a48",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,51,7053.76,232016.89,TRUE,"Santa Barbara | Washington","CA | DC","20470 | 93105"
"SEIU 721 SERVICE EMPLOYEES (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_7890","org_rg_7890","8a237c1b-e41b-48af-83b0-8cd6d95d20a8",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,51,270858.58,232016.89,TRUE,"Los Angeles | Washington","CA | DC","20471 | 90017"
"F3 CREDIT UNION","org_rg_7925","org_rg_7925","d5347989-6ac7-4197-b1d5-3a89e02025d8",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,2000,22000,TRUE,"San Jose","CA","95126"
"SESLOC CREDIT UNION","org_rg_7925","org_rg_7925","98223771-dc9b-47a7-9820-22a325c8c08e",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,19600,22000,TRUE,"San Luis Obispo","CA","93401"
