"","Contributor.Name","name","jw_dist","jaccard","level3_category"
"42","Electrical Workers Local #100 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 100",0.0352941176470589,NA,"Electrical workers/IBEW"
"43","Electrical Workers Local #302 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 302",0.0352941176470589,NA,"Electrical workers/IBEW"
"44","Electrical Workers Local #477 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 477",0.0352941176470589,NA,"Electrical workers/IBEW"
"45","Electrical Workers Local #332 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 332",0.0352941176470589,NA,"Electrical workers/IBEW"
"46","Electrical Workers Local #617 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 617",0.0352941176470589,NA,"Electrical workers/IBEW"
"47","Electrical Workers Local #595 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 595",0.0352941176470589,NA,"Electrical workers/IBEW"
"48","Electrical Workers Local #440 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 440",0.0352941176470589,NA,"Electrical workers/IBEW"
"49","AFSCME Local 1 (intermediary for unitemized member dues)","AFSCME LOCAL 1902",0.0352941176470589,NA,"State & local government employee unions"
"50","Electrical Workers Local #551 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 551",0.0352941176470589,NA,"Electrical workers/IBEW"
"51","Electrical Workers Local #569 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 569",0.0352941176470589,NA,"Electrical workers/IBEW"
"52","Baron & Budd, PC","BARON & BUDD",0.0352941176470589,NA,"Attorneys & law firms"
"53","Anheuser Busch Co., Inc","ANHEUSER-BUSCH CO",0.0352941176470589,NA,"Beer"
"54","AFSCME Local 257 (intermediary for unitemized member dues)","AFSCME LOCAL 2700",0.0360294117647059,NA,"State & local government employee unions"
"55","AFSCME Local 1684 (intermediary for unitemized member dues)","AFSCME LOCAL 685",0.0360294117647059,NA,"State & local government employee unions"
"56","AFSCME Local 101 (intermediary for unitemized member dues)","AFSCME LOCAL 1902",0.0360294117647059,NA,"State & local government employee unions"
"57","AFSCME Local 258 (intermediary for unitemized member dues)","AFSCME LOCAL 2428",0.0360294117647059,NA,"State & local government employee unions"
"58","AFSCME Local 127","AFSCME LOCAL 1902",0.0360294117647059,NA,"State & local government employee unions"
"59","Sprinkler Fitters Local #709 (Intermediary for Unitemized Union Member Contributions)","SPRINKLER FITTERS LOCAL 709",0.0363636363636363,NA,"Construction unions"
"60","Electrical Workers Local #11 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 11",0.0363636363636363,NA,"Electrical workers/IBEW"
"61","Covenant Care CA Inc","Covenant Care",0.0375,NA,"Nursing homes"
"62","Electrical Workers Local #6 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 6",0.0375,NA,"Electrical workers/IBEW"
"63","Electrical Workers Local #6 (Intermediary for Unitemized  Union Member Contributions)","ELECTRICAL WORKERS LOCAL 6",0.0375,NA,"Electrical workers/IBEW"
"64","Holliday Rock Co., Inc.","HOLLIDAY ROCK CO",0.0375,NA,"Stone, clay, glass & concrete products"
"65","Elevator Constructors Local #18 (Intermediary for Unitemized Union Member Contributions)","ELEVATOR CONSTRUCTORS LOCAL 8",0.0388888888888889,NA,"Construction unions"
"66","Providence Administrative Consulting Services, Inc. (PACS)","PROVIDENCE ADMINISTRATIVE CONSULTING LLC",0.0400000000000001,NA,"Health care Consultants"
"67","North Monterey County Federation of Teachers (Unitemized Member Contributions)","NORTH MONTEREY COUNTY FEDERATION OF TEACHERS LOCAL 4008",0.0400000000000001,NA,"Teachers unions"
"68","Providence Administrative Consulting Services, Inc.","PROVIDENCE ADMINISTRATIVE CONSULTING LLC",0.0400000000000001,NA,"Health care Consultants"
"69","North Monterey County Federation of Teachers (Unitemized Member Dues)","NORTH MONTEREY COUNTY FEDERATION OF TEACHERS LOCAL 4008",0.0400000000000001,NA,"Teachers unions"
"70","California Water Service Group","CALIFORNIA WATER SERVICE CO",0.0400000000000001,NA,"Water utilities"
"71","California Association of Nurse Anesthesiology","CALIFORNIA ASSOCIATION OF NURSE ANESTHETISTS",0.0402535428516341,NA,"Nurses"
"72","Plumbers and Steamfitters Local Union No. 582","PLUMBERS & STEAMFITTERS LOCAL 582",0.0409090909090909,NA,"Construction unions"
"73","Electrical Workers Local #340 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 40",0.0411764705882353,NA,"Electrical workers/IBEW"
"74","Dreyer Babich Buccola Wood Campora, LLP (Roger Dreyer)","DREYER BABICH BUCCOLA WOOD & CAMPORA LLP",0.041640866873065,NA,"Attorneys & law firms"
"75","Motor Vehicle Software Corporation dba VITU","MOTOR VEHICLE SOFTWARE CORPORATION",0.0418604651162791,NA,"Data processing & computer services"
"76","Motor Vehicle Software Corporation/dba VITU","MOTOR VEHICLE SOFTWARE CORPORATION",0.0418604651162791,NA,"Data processing & computer services"
"77","Ernst Law Group, ALC","ERNST LAW GROUP",0.0421052631578947,NA,"Attorneys & law firms"
"78","SEIU United Health Care Workers - West","SEIU United Healthcare Workers West",0.0426984126984127,NA,"Health worker unions"
"79","California Association of Hospitals and Health Systems (CAHHS) Administrative","CALIFORNIA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS",0.0434782608695653,NA,"Hospitals"
"80","Western United Dairymen","WESTERN UNITED DAIRIES",0.0442687747035573,NA,"Dairy farmers & wholesale and retail milk, cheese and ice cream dealers"
"81","National Union of Healthcare (intermediary for unitemized member dues)","NATIONAL UNION OF HEALTHCARE WORKERS",0.0444444444444445,NA,"Health worker unions"
"82","Boilermakers Local #92 (Intermediary for Unitemized Union Member Contributions)","BOILERMAKERS LOCAL 92",0.0444444444444445,NA,"Construction unions"
"83","Sprinkler Fitters Local 483 (represents unitemized member dues)","SPRINKLER FITTERS LOCAL 709",0.0444444444444445,NA,"Construction unions"
"84","Laborers International Union of North America Local No. 220","LABORERS INTERNATIONAL UNION OF NORTH AMERICA",0.0448275862068965,NA,"Construction unions"
"85","San Jose/Evergreen Faculty Association (Unitemized Member Contributions)","SAN JOSE / EVERGREEN FACULTY ASSOCIATION LOCAL 6157",0.0448979591836735,NA,"Teachers unions"
"86","McCarthy Building Companies, Inc. RUA","MCCARTHY BUILDING COMPANIES",0.0457142857142857,NA,"Public works, industrial & commercial construction"
"87","California Association of Sheet Metal & Air Conditioning Contractors National Association","CALIFORNIA ASSOCIATION OF SHEET METAL & AIR CONDITIONING CONTRACTORS",0.0461538461538462,NA,"Plumbing, heating & air conditioning"
"88","Pajaro Valley Federation of Teachers (Unitemized Member Contributions)","PAJARO VALLEY FEDERATION OF TEACHERS LOCAL 1936",0.0468085106382979,NA,"Teachers unions"
"89","Lance-Kashian & Company","LANCE-KASHIAN & CO",0.0470588235294118,NA,"Real estate developers & subdividers"
"90","Shernoff Bidart Echeverria, LLP","SHERNOFF BIDART ECHEVERRIA BENTLEY LLP",0.0470588235294118,NA,"Attorneys & law firms"
"91","Pacific Life Insurance Company","PACIFC LIFE INSURANCE",0.0471861471861472,NA,"Life insurance"
"92","Newport-Mesa Federation of Teachers (Unitemized Member Contributions)","NEWPORT MESA FEDERATION OF TEACHERS LOCAL 1794",0.0478260869565217,NA,"Teachers unions"
"93","Cerritos College Faculty Federation (Unitemized Member Contributions)","CERRITOS COLLEGE FACULTY FEDERATION LOCAL 6215",0.0478260869565217,NA,"Teachers unions"
"94","State Center Federation of Teachers (Unitemized Member Contributions)","STATE CENTER FEDERATION OF TEACHERS LOCAL 1533",0.0478260869565217,NA,"Teachers unions"
"95","Newport Mesa Federation of Teachers (Unitemized Member Contributions)","NEWPORT MESA FEDERATION OF TEACHERS LOCAL 1794",0.0478260869565217,NA,"Teachers unions"
"96","Laborers Local #1309 (Intermediary for Unitemized Union Member Contributions)","LABORERS LOCAL 1309",0.048,NA,"Construction unions"
"97","Laborers Local #1184 (Intermediary for Unitemized Union Member Contributions)","LABORERS LOCAL 1184",0.048,NA,"Construction unions"
"98","First Northern Bank - Dixon","First Northern Bank",0.048,NA,"Commercial banks & bank holding companies"
"99","Electrical Workers Local #441 (Intermediary for Unitemized Union Member Contributions)","ELECTRICAL WORKERS LOCAL 440",0.0483193277310925,NA,"Electrical workers/IBEW"
"100","AFSCME Local 146 (intermediary for unitemized member dues)","AFSCME LOCAL 3634",0.0493627450980393,NA,"State & local government employee unions"
"101","United Health Group Inc.","UNITEDHEALTH GROUP",0.0494152046783626,NA,"Accident & health insurance"
