"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC","org_rg_156","org_rg_156","02fb3c00-5125-432e-a017-77c209b300e3",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","1463224",6,75000,324555.33,TRUE,"Sacramento","CA","95814 | 95814-2328"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_156","org_rg_156","02fb3c00-5125-432e-a017-77c209b300e3",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1463224",6,2800,324555.33,FALSE,"Sacramento","CA","95814"
"LOCAL 770, UNITED FOOD AND COMMERCIAL WORKERS (UFCW) PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_19","org_rg_19","d3883c6e-1639-447d-83e7-f9c3af84e128",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","921242",1,2100,1e+05,FALSE,"Los Angeles","CA","90005"
"UFCW LOCAL 1428","org_rg_19","org_rg_19","ab8bd512-ae2e-471d-9f8f-1c5a041b5cb9",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,10,1527.28,1e+05,TRUE,"Claremont","CA","91711-4812"
"UFCW LOCAL 324","org_rg_19","org_rg_19","8870488c-a83c-4cca-9cf1-7f0048f6bf70",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,9,1397.28,1e+05,TRUE,"Buena Park","CA","90620-3930"
"UFCW LOCAL 770","org_rg_19","org_rg_19","bba16730-0f05-43cf-b7cd-ac488bc8eae1",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge",NA,1,10000,1e+05,FALSE,"LOS ANGELES","CA","90005"
"UFCW LOCAL 99 PAC","org_rg_19","org_rg_19","0168c2a5-0e7c-4cb4-9a7c-98316f7f9505",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge",NA,1,10000,1e+05,FALSE,"Phoenix","AZ","85004-1331"
"UFCW REGION 8 STATES COUNCIL","org_rg_19","org_rg_19","917fbf24-db1a-48ca-a0e6-4b95540c8724",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,4900,1e+05,FALSE,"Buena Park","CA","90620-3930"
"UNITED FOOD & COMMERCIAL WORKERS (UFCW) LOCAL 5 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_19","org_rg_19","3c690c22-7f19-48e5-8841-592aa152c9e9",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,18,3903.38,1e+05,FALSE,"San Jose","CA","95113"
"UNITED FOOD & COMMERCIAL WORKERS LOCAL 5","org_rg_19","org_rg_19","3c690c22-7f19-48e5-8841-592aa152c9e9",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,21,105232.75,1e+05,FALSE,"San Jose","CA","95113-"
"UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 135","org_rg_19","org_rg_19","77110474-de6a-4388-901f-b0f80fe67d3e",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge",NA,1,7000,1e+05,FALSE,"San Diego","CA","92108"
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB (CALIFORNIA) (FED PAC ID# C00002766)","org_rg_19","org_rg_19","786457e7-89c5-40dc-b6d4-b9918dbe1e1b",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1247000",3,10200,1e+05,FALSE,"Washington","DC","20006-1502"
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB GENERAL FUND","org_rg_19","org_rg_19","786457e7-89c5-40dc-b6d4-b9918dbe1e1b",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","1247000",1,25000,1e+05,TRUE,"Washington","DC","20006-1502"
"UNITED FOOD AND COMMERCIAL WORKERS LOCAL 770 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_19","org_rg_19","c463613a-3e0a-43ea-bbce-03033147fc7d",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,18,7913.31,1e+05,FALSE,"Los Angeles","CA","90005"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL","org_rg_19","org_rg_19","760be8fd-377b-40de-b79f-aebf55ca929f",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","910874",1,1500,1e+05,FALSE,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE","org_rg_19","org_rg_19","760be8fd-377b-40de-b79f-aebf55ca929f",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","910874",1,2500,1e+05,FALSE,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_19","org_rg_19","760be8fd-377b-40de-b79f-aebf55ca929f",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","910874",8,75000,1e+05,TRUE,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL INDEPENDENT EXPENDITURE PAC","org_rg_19","org_rg_19","b6285f31-81c3-4054-a321-703460f9a428",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","1362802",2,35000,1e+05,FALSE,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_19","org_rg_19","760be8fd-377b-40de-b79f-aebf55ca929f",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","910874",1,2500,1e+05,FALSE,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERICAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC","org_rg_19","org_rg_19","760be8fd-377b-40de-b79f-aebf55ca929f",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","910874",1,2500,1e+05,FALSE,"Buena Park","CA","90620"
"LABORERS INT'L UNION OF NORTH AMERICA, LOCAL 777 (LIUNA! LOCAL 777)","org_rg_22","org_rg_22","4e637343-2757-4bae-b31a-82d425b16788",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,3,456.24,85250,FALSE,"Phoenix","AZ","85034-1105"
"LABORERS LOCAL 1184 (INTERMEDIARY FOR UNITEMIZED DUES)","org_rg_22","org_rg_22","d67b3aed-6d95-44f1-9b8e-7bbdef03f1e8",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,15,1875,85250,TRUE,"Sacramento","CA","95811"
"LABORERS LOCAL 300 (INTERMEDIARY FOR UNITEMIZED DUES)","org_rg_22","org_rg_22","77675560-7dfe-45e6-91cc-7d1d2bcc0e04",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,15,1500,85250,TRUE,"Los Angeles","CA","90006"
"LABORERS LOCAL 652","org_rg_22","org_rg_22","0ab1f59b-7a29-44e7-9157-e466c03a7230",NA,"merge_conflict",TRUE,FALSE,FALSE,"same_contributor_id","1251912",1,2500,85250,FALSE,"Santa Ana","CA","92701"
