canonical_entity_id,canonical_entity_name,link_tier,raw_name_variants,n_name_variants,code_final,n_contributors,n_from_pipeline,n_from_manual_review,code_sources,roles,rule_code_variants,code_conflict,conflict_type,n_as_direct_contributor,n_as_employer,conflict_resolution_code
v5_921,Flagstone HC Central,name_v5,"Flagstone HC Central | Flagstone HC Central, LLC (Adam Willits)",2,60,1,0,1,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
dd_-5763,"Genentech, Inc.",dd_org_concept,"Genentech | Genentech, Inc.",2,31-33,1,1,0,pre_classified (locked),direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
dd_-5763,"Genentech, Inc.",dd_org_concept,"Genentech | Genentech, Inc.",2,79,1,0,1,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
dd_-5765,"Genentech, USA",dd_org_concept,"Genentech USA | Genentech USA, Inc.",2,50,1,0,1,manual_review,direct_contributor,,TRUE,within_manual_review,2,0,NA
dd_-5765,"Genentech, USA",dd_org_concept,"Genentech USA | Genentech USA, Inc.",2,79,1,0,1,manual_review,direct_contributor,,TRUE,within_manual_review,2,0,NA
v5_1267,JENNIFER DIBRIENZA,name_v5,JENNIFER DIBRIENZA,1,100,1,0,1,manual_review,employer,,TRUE,manual_vs_pipeline,0,2,NA
v5_1267,JENNIFER DIBRIENZA,name_v5,JENNIFER DIBRIENZA,1,60,1,1,0,ml+llm agreement,employer,,TRUE,manual_vs_pipeline,0,2,NA
v5_1294,JORDAN REAL ESTATE INVESTMENTS,name_v5,JORDAN REAL ESTATE INVESTMENTS,1,100,1,0,1,manual_review,employer,52,TRUE,within_manual_review,0,2,NA
v5_1294,JORDAN REAL ESTATE INVESTMENTS,name_v5,JORDAN REAL ESTATE INVESTMENTS,1,40,1,0,1,manual_review,employer,52,TRUE,within_manual_review,0,2,NA
v5_1574,MEDLEY PARTNERS,name_v5,MEDLEY PARTNERS,1,100,1,0,1,manual_review,employer,52,TRUE,within_manual_review,0,2,NA
v5_1574,MEDLEY PARTNERS,name_v5,MEDLEY PARTNERS,1,52,1,0,1,manual_review,employer,,TRUE,within_manual_review,0,2,NA
v5_1596,MERUELO GROUP,name_v5,MERUELO GROUP,1,50,1,1,0,pre_classified (locked),employer,,TRUE,within_pipeline,0,2,NA
v5_1596,MERUELO GROUP,name_v5,MERUELO GROUP,1,52,1,1,0,pre_classified (locked),employer,,TRUE,within_pipeline,0,2,NA
dd_-9228,Phillips 66,dd_org_concept,Phillips 66 | Phillips 66 Company,2,21,1,0,1,manual_review,direct_contributor,31-33,TRUE,manual_vs_pipeline,2,0,NA
dd_-9228,Phillips 66,dd_org_concept,Phillips 66 | Phillips 66 Company,2,31-33,1,1,0,ml+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
v5_1980,"Providence Administrative Consulting Services, Inc.",name_v5,"Providence Administrative Consulting Services, Inc. | Providence Administrative Consulting Services, Inc. (PACS)",2,50,1,0,1,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
v5_1980,"Providence Administrative Consulting Services, Inc.",name_v5,"Providence Administrative Consulting Services, Inc. | Providence Administrative Consulting Services, Inc. (PACS)",2,60,1,1,0,pre_classified (locked),direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
v5_2301,Southland Industries,name_v5,Southland Industries | SOUTHLAND INDUSTRIES,2,100,1,1,0,not-employed override,direct_contributor,,TRUE,direct_vs_employer; manual_vs_pipeline,1,1,NA
v5_2301,Southland Industries,name_v5,Southland Industries | SOUTHLAND INDUSTRIES,2,40,1,0,1,manual_review,employer,,TRUE,direct_vs_employer; manual_vs_pipeline,1,1,NA
dd_-10911,Specialty Equipment Market Association,dd_org_concept,"Specialty Equipment Market Association | Specialty Equipment Market Association & Performance Racing, Inc.",2,76,1,0,1,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
dd_-10911,Specialty Equipment Market Association,dd_org_concept,"Specialty Equipment Market Association | Specialty Equipment Market Association & Performance Racing, Inc.",2,76a,1,1,0,pre_classified (locked),direct_contributor,,TRUE,manual_vs_pipeline,2,0,NA
