pac_id,pac_name,industry,amount,total_received,pct_of_total
1280496,"AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION OF AMERICA CALIFORNIA ISSUES COMMITTEE ""MPO""",52,24600,24600,1
1280902,Plumbers and Pipefitters Local 364 PAC,77,43094.91,43094.91,1
1281772,Golden State Leadership Fund PAC,52,45389.82094128797,121770.61,0.3727485716076151
1281772,Golden State Leadership Fund PAC,90,40809.45370651948,121770.61,0.33513385295942494
1281772,Golden State Leadership Fund PAC,99,13187.121991625483,121770.61,0.10829478469086656
1281772,Golden State Leadership Fund PAC,77,5362.059119490965,121770.61,0.044034099192662046
1281772,Golden State Leadership Fund PAC,79,2542.9397765141166,121770.61,0.02088303389885389
1281772,Golden State Leadership Fund PAC,80,2346.6074961695995,121770.61,0.019270721368395867
1281772,Golden State Leadership Fund PAC,60,2334.3284600530033,121770.61,0.019169883932198446
1281772,Golden State Leadership Fund PAC,40,1861.586545941172,121770.61,0.015287650656764979
1281772,Golden State Leadership Fund PAC,21,1494.8801601617647,121770.61,0.012276198338513412
1281772,Golden State Leadership Fund PAC,92a,1446.047193027067,121770.61,0.011875174091901707
1281772,Golden State Leadership Fund PAC,100,1137.0741106914752,121770.61,0.00933783702562938
1281772,Golden State Leadership Fund PAC,50,959.4031750480482,121770.61,0.00787877448464821
1281772,Golden State Leadership Fund PAC,20,910.1962198290049,121770.61,0.007474678987228568
1281772,Golden State Leadership Fund PAC,31-33,856.2602637569454,121770.61,0.0070317481677799375
1281772,Golden State Leadership Fund PAC,92,575.7462504656863,121770.61,0.004728121592440789
1281772,Golden State Leadership Fund PAC,70,263.43188152264713,121770.61,0.0021633453386054905
1281772,Golden State Leadership Fund PAC,76,151.21110712165049,121770.61,0.0012417701374876128
1281772,Golden State Leadership Fund PAC,11,142.0027195413818,121770.61,0.00116614936511677
1281772,Golden State Leadership Fund PAC,76a,0.4388812325362744,121770.61,3.604163866275076e-6
1282378,NA,31-33,431200,499800,0.8627450980392157
1282378,NA,76,39200,499800,0.0784313725490196
1282378,NA,79,29400,499800,0.058823529411764705
1282464,Planned Parenthood of Orange and San Bernardino Counties Community Action Fund PAC,99,230253.5600000003,398157.4600000004,0.5782977418029541
1282464,Planned Parenthood of Orange and San Bernardino Counties Community Action Fund PAC,100,137263.15,398157.4600000004,0.3447458952546057
1282464,Planned Parenthood of Orange and San Bernardino Counties Community Action Fund PAC,80,14953,398157.4600000004,0.03755549374862896
1282464,Planned Parenthood of Orange and San Bernardino Counties Community Action Fund PAC,60,5687.75,398157.4600000004,0.014285177527503802
1282464,Planned Parenthood of Orange and San Bernardino Counties Community Action Fund PAC,40,5000,398157.4600000004,0.012557845833153534
