canonical_entity_id,canonical_entity_name,link_tier,raw_name_variants,n_name_variants,code_final,n_contributors,n_from_pipeline,n_from_manual_review,code_sources,roles,rule_code_variants,code_conflict,conflict_type,n_as_direct_contributor,n_as_employer,conflict_resolution_code
v5_2330,STAWICKI ANDERSON SINCLAIR,name_v5,STAWICKI ANDERSON SINCLAIR,1,50,1,0,1,manual_review,employer,70,FALSE,NA,0,1,NA
v5_2147,San Joaquin - Stanislaus Cattlemen's Association,name_v5,San Joaquin - Stanislaus Cattlemen's Association,1,76,1,0,1,manual_review,direct_contributor,11,FALSE,NA,1,0,NA
v5_2280,Sofia L. Tsakopoulos Investments (Sofia L. Tsakopoulos),name_v5,Sofia L. Tsakopoulos Investments (Sofia L. Tsakopoulos),1,40,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
v5_2283,Solar Turbines - A Caterpillar Company,name_v5,Solar Turbines - A Caterpillar Company,1,31-33,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
dd_-11208,Sutter Health,dd_org_concept,SUTTER HEALTH,1,52,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
v5_2451,THE CORKY MCMILLIN COMPANIES,name_v5,THE CORKY MCMILLIN COMPANIES,1,100,1,0,1,manual_review,employer,40,FALSE,NA,0,1,NA
v5_2473,THE STEVE HILTON SHOW,name_v5,THE STEVE HILTON SHOW,1,102,1,0,1,manual_review,employer,70,FALSE,NA,0,1,NA
v5_2540,TUOLUMNE BAND OF ME-WUKS DBA BLACK OAK CASINO,name_v5,TUOLUMNE BAND OF ME-WUKS DBA BLACK OAK CASINO,1,92a,1,0,1,manual_review,direct_contributor,70,FALSE,NA,1,0,NA
dd_-12204,United Hospital Association,dd_org_concept,UNITED HOSPITAL ASSOCIATION,1,50,1,0,1,manual_review,employer,60,FALSE,NA,0,1,NA
v5_2699,"Vitu, Inc.",name_v5,"Vitu, Inc.",1,79,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
v5_2809,ZeOmega Inc.,name_v5,ZeOmega Inc.,1,60,1,0,1,manual_review,direct_contributor,50,FALSE,NA,1,0,NA
v5_2442,"the AFSCME General Fund, CA District Council 36 of",name_v5,"the AFSCME General Fund, CA District Council 36 of",1,77,1,0,1,manual_review,direct_contributor,88,FALSE,NA,1,0,NA
