entity_name,canonical_name,entity_id,Contributor.ID,review_group_id,to_add_status,confirmed_link,flag,entity_status,confirmed,conflicting_contributor_ids,is_conflict,n_contributions,link_methods,total_amount,max_single_recipient,city,state,zip,notes
SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,1411eff6-0fa8-40b1-9efe-429c7edf667a,1358150,org_rg_116_c,in existing map,yes,,merge_conflict,TRUE,TRUE,FALSE,6,map1_bridge | same_contributor_id | same_contributor_id,95500,196000,Long Beach | Sacramento,CA,90802 | 95814-4602,
LOCAL 770 UNITED FOOD AND COMMERCIAL WORKERS PAC,UNITED FOOD & COMERCIAL WORKERS UNION LOCAL 770,d3883c6e-1639-447d-83e7-f9c3af84e128,921242,org_rg_117_a,add to map,no,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,78400,156800,Los Angeles,CA,90005-1303,
UFCW 8 GOLDEN STATE (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,571ed5bc-3850-4a67-a267-d03519a6729d,NA,org_rg_117_b,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,48614.4,156800,Roseville | Washington,CA | DC,20265 | 95661,
UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE,UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,571ed5bc-3850-4a67-a267-d03519a6729d,NA,org_rg_117_b,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,19,exact_name_v1 | exact_name_v1 | map1_bridge,11744.78,156800,Roseville,CA,95661,
UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE PAC,UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,571ed5bc-3850-4a67-a267-d03519a6729d,950663,org_rg_117_b,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,30000,156800,Roseville,CA,95610,
UNITED FOOD AND COMMERCIAL WORKERS ACTIVE BALLOT CLUB (CALIFORNIA) (FED PAC ID# C00002766),UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,1247000,org_rg_117_c,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,39200,156800,Washington,DC,20006-1502,
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,NA,org_rg_117_c,add to map,yes,,new_entity,FALSE,TRUE,FALSE,19,exact_name_v1 | exact_name_v1 | map1_bridge,20414.98,156800,Washington,DC,20006,
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, AFL-CIO, CLC",UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,NA,org_rg_117_c,add to map,uncertain,,new_entity,FALSE,TRUE,FALSE,1,map1_bridge,5500,156800,Washington,DC,20006,"Confused whether AFL-CIO makes it different, somtimes separate in name queue?"
UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_117_e,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,1,same_contributor_id,2500,156800,Buena Park,CA,90620,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_117_e,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,12,map1_bridge | same_contributor_id | same_contributor_id,42900,156800,Buena Park | BUENA PARK,CA,90620 | 90620-3930,
